Name	Drvid	Team	IRating	SR	Flag	DriverRank	FairnessRating	ErstesRennen	LetztesRennen	LetztePlatzierung	DurchschnittPlatzierung	Poles	Rennen	Finish	Quote	Titel	HeisseEisenTitel	Distanz	FuehrungsKm	Incidents	RawPunkte	Punkte	Strafpunkte	PunkteProRennen	BestQuali	BestErgebnis	Siege	Podium	Top5	Top10	Top15	Top20	CleanestDriver	HardCharger	SchnellsteRunde	SeasonPosition	License	RankValue	IsCurrentChamp	IsCurrentHeChamp	
Jürgen Klaiber	40232	Friedrich Hecker Racing	1548	3,42	DE		100	11/12/2018 - Nürburgring Nordschleife Industriefahrten	12/3/2018 - Mount Panorama Circuit	11	14	0	4	4	100	0	0	440,391	0	14	30	27	-3	6	12	11	0	0	0	0	2	4	0	0	0	0	Class A	0	False	False	
Ingo Lutz	18598	SD Racing Team	1798	3,62	DE	Bronze	1,3042	6/18/2018 - Okayama International Circuit Short	12/3/2018 - Mount Panorama Circuit	14	16,2	0	19	16	84	0	0	1458,884	0	118	147	134	-13	7	10	7	0	0	0	3	10	15	4	2	0	0	Class B	1	False	False	
Fabio Berchtold	36438	Team Teabagged	2707	2,48	CH	BronzePlus	0,3649	1/22/2018 - Circuit Zolder Grand Prix	12/3/2018 - Mount Panorama Circuit	17	11,4	0	21	19	90	0	0	1204,135	0	74	278	276	-2	13	6	4	0	0	2	7	15	20	5	1	0	0	Class A	2	False	False	
Harald Ide	22676	SD Racing Team	2309	2,43	DE	Silber	0,7067	6/25/2018 - Canadian Tire Motorsports Park	12/3/2018 - Mount Panorama Circuit	20	11	0	20	15	75	0	0	1566,62	0	99	219	215	-4	10	4	3	0	1	3	8	13	16	3	1	0	0	Class A	3	False	False	
Andreas Luther	30725	SD Racing Team	3133	1,69	DE		100	6/25/2018 - Canadian Tire Motorsports Park	11/26/2018 - Canadian Tire Motorsports Park	15	12,5	0	4	2	50	0	0	192,321	0	38	23	11	-12	2	7	10	0	0	0	1	2	2	0	0	0	0	Class A	0	False	False	
Yannick Englert	37038	-	1028	2,3	CH	Bronze	1,3244	3/5/2018 - Phillip Island Circuit	11/26/2018 - Canadian Tire Motorsports Park	21	17,6	0	17	15	88	0	0	1044,291	0	193	151	144	-7	8	8	8	0	0	0	1	8	14	0	3	0	0	Class C	1	False	False	
Frank Kleefeldt	39606	GermanSimRacing.de	1893	3,37	DE		100	9/17/2018 - WeatherTech Raceway at Laguna Seca Full Course	11/12/2018 - Nürburgring Nordschleife Industriefahrten	17	19,3	0	3	3	100	0	0	290,158	0	25	6	6	0	2	25	17	0	0	0	0	0	2	0	0	0	0	Class A	0	False	False	
Peter Weiler2	40233	-	1125	3,7	DE		100	11/12/2018 - Nürburgring Nordschleife Industriefahrten	11/12/2018 - Nürburgring Nordschleife Industriefahrten	20	0	0	1	0	0	0	0	145,775	0	17	1	1	0	1	33	20	0	0	0	0	0	1	0	0	0	0	Class C	0	False	False	
Jan Rihs	36180	-	1592	2,35	AT		100	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	11/12/2018 - Nürburgring Nordschleife Industriefahrten	25	23,8	0	6	3	50	0	0	226,797	0	34	24	22	-2	3	12	11	0	0	0	0	1	2	0	0	0	0	Class B	0	False	False	
Markus Vsetecka	39337	H2-Performance	1407	2,26	AT		100	8/27/2018 - Detroit Grand Prix at Belle Isle Belle Isle	11/12/2018 - Nürburgring Nordschleife Industriefahrten	28	11	0	2	1	50	0	0	45,384	0	14	15	15	0	7	13	11	0	0	0	0	1	1	1	0	0	0	Class B	0	False	False	
Jürgen Ecken2	30711	SD Racing Team	2071	4,38	DE		100	7/2/2018 - Nürburgring Nordschleife Industriefahrten	11/12/2018 - Nürburgring Nordschleife Industriefahrten	32	0	0	3	0	0	0	0	147,785	0	20	24	21	-3	7	12	12	0	0	0	0	1	2	0	0	0	0	Class A	0	False	False	
Fred Jerich	36174	-	1133	2,56	AT		100	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	11/12/2018 - Nürburgring Nordschleife Industriefahrten	33	19	0	7	3	43	0	0	244,546	0	59	27	13	-14	1	16	16	0	0	0	0	0	2	0	0	0	0	Class C	0	False	False	
Fabian Jungbluth	27531	-	3488	4,93	DE		100	9/24/2018 - Twin Ring Motegi East	11/5/2018 - Detroit Grand Prix at Belle Isle Belle Isle	8	10	0	3	2	67	0	0	137,854	0	24	22	21	-1	7	9	8	0	0	0	1	2	2	1	0	0	0	Class A	0	False	False	
Lukas Wanner	36173	-	2240	2,2	AT		100	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	11/5/2018 - Detroit Grand Prix at Belle Isle Belle Isle	21	4,5	0	5	4	80	0	0	252,405	42,701	39	95	94	-1	18	3	1	2	3	3	3	4	4	0	0	1	0	Class B	0	False	False	
Andreas Zeyen	39604	Lucky Dogs	1915	2,6	DE	Bronze	100	9/17/2018 - WeatherTech Raceway at Laguna Seca Full Course	10/22/2018 - Donington Park Racing Circuit National	16	12	0	6	5	83	0	0	497,429	0	78	57	50	-7	8	9	6	0	0	0	3	4	6	0	1	0	0	Class B	1	False	False	
Sven Stockmann	36439	-	1051	3,29			100	1/22/2018 - Circuit Zolder Grand Prix	10/22/2018 - Donington Park Racing Circuit National	19	22	0	5	5	100	0	0	362,482	0	18	8	5	-3	1	21	19	0	0	0	0	0	2	1	0	0	0	Class B	0	False	False	
Steffen Meincke	38150	GermanSimRacing.de	1690	3,12	DE		100	10/15/2018 - Autodromo Nazionale Monza Grand Prix	10/15/2018 - Autodromo Nazionale Monza Grand Prix	12	12	0	1	1	100	0	0	69,528	0	14	8	8	0	8	18	12	0	0	0	0	1	1	0	0	0	0	Class A	0	False	False	
Jonas zum Buttel	22980	Raceline Simsports	2246	1,88			100	9/17/2018 - WeatherTech Raceway at Laguna Seca Full Course	10/15/2018 - Autodromo Nazionale Monza Grand Prix	14	14,5	0	3	2	67	0	0	145,902	0	34	11	11	0	3	20	14	0	0	0	0	2	2	0	1	0	0	Class A	0	False	False	
Frank Ahlgrimm	34597	Projekt Racing	1442	3,07	DE	Silber	0,5273	9/25/2017 - Silverstone Circuit National	10/15/2018 - Autodromo Nazionale Monza Grand Prix	23	14,5	0	38	33	87	0	0	2130,528	0	201	399	395	-4	10	8	3	0	1	1	6	24	34	3	12	0	0	Class A	3	False	False	
Michael Bittmann	35147	GermanSimRacing.de	1803	2,35	DE		100	10/9/2017 - Road Atlanta Full Course	10/15/2018 - Autodromo Nazionale Monza Grand Prix	25	18,7	0	6	6	100	0	0	361,832	0	28	43	42	-1	7	16	13	0	0	0	0	1	4	0	0	0	0	Class A	0	False	False	
Florian Ploier	39918	Wuedehund Racing	1127	2,54	AT		100	10/8/2018 - Mid-Ohio Sports Car Course Full Course	10/8/2018 - Mid-Ohio Sports Car Course Full Course	13	13	0	1	1	100	0	0	54,315	0	12	7	7	0	7	21	13	0	0	0	0	1	1	0	0	0	0	Class D	0	False	False	
Manuel Vasta	39768	Wuedehund Racing	1534	3,46	AT		100	9/24/2018 - Twin Ring Motegi East	10/8/2018 - Mid-Ohio Sports Car Course Full Course	26	21	0	3	2	67	0	0	190,73	0	28	5	1	-4	0	14	16	0	0	0	0	0	1	0	0	0	0	Class C	0	False	False	
Denis Rapkiewicz	36762	Projekt Racing	3081	3,48	DE		100	2/19/2018 - Circuit of the Americas West	10/1/2018 - Okayama International Circuit Full Course	8	11,8	0	6	4	67	0	0	348,213	0	50	60	60	0	10	10	3	0	1	1	2	3	4	0	1	0	0	Class A	0	False	False	
Florian Springmann	39607	-	1171	1,56			100	9/17/2018 - WeatherTech Raceway at Laguna Seca Full Course	9/24/2018 - Twin Ring Motegi East	22	23,5	0	2	2	100	0	0	104,812	0	25	0	0	0	0	28	22	0	0	0	0	0	0	0	0	0	0	Class B	0	False	False	
Harry Groepler	39769	-	1215	3,42	DE		100	9/24/2018 - Twin Ring Motegi East	9/24/2018 - Twin Ring Motegi East	24	24	0	1	1	100	0	0	50,985	0	6	0	0	0	0	30	24	0	0	0	0	0	0	0	0	0	0	Class C	0	False	False	
Benjamin August	39605	-	1598	2,49			100	9/17/2018 - WeatherTech Raceway at Laguna Seca Full Course	9/17/2018 - WeatherTech Raceway at Laguna Seca Full Course	20	20	0	1	1	100	0	0	54,03	0	11	0	0	0	0	16	20	0	0	0	0	0	1	0	0	0	0	Class B	0	False	False	
Maximilian Bandion	34600	Maunz-Racing	2525	4,99	AT		1,9667	9/25/2017 - Silverstone Circuit National	9/17/2018 - WeatherTech Raceway at Laguna Seca Full Course	31	21,4	0	11	10	91	0	0	588,431	0	100	68	55	-13	5	13	14	0	0	0	0	2	5	0	0	0	0	Class B	0	False	False	
Fabio Unverdruss	38510	H2-Performance	2636	2,64	DE		100	6/18/2018 - Okayama International Circuit Short	8/27/2018 - Detroit Grand Prix at Belle Isle Belle Isle	10	4,2	1	8	4	50	0	0	457,019	221,182	70	109	99	-10	12	1	1	1	2	3	4	4	5	0	0	1	0	Class B	0	False	False	
Tim Bauhofer	39094	-	1644	3,6			100	8/6/2018 - Circuit de Spa-Francorchamps Classic Pits	8/6/2018 - Circuit de Spa-Francorchamps Classic Pits	14	14	0	1	1	100	0	0	63,009	0	8	11	11	0	11	23	14	0	0	0	0	1	1	0	0	0	0	Class D	0	False	False	
Jürgen Langenbucher	38275	-	852	3,46	DE		100	6/18/2018 - Okayama International Circuit Short	8/6/2018 - Circuit de Spa-Francorchamps Classic Pits	17	19,7	0	4	3	75	0	0	179,4	0	20	26	26	0	6	16	16	0	0	0	0	0	2	0	0	0	0	Class C	0	False	False	
Sven von Känel	38989	-	0	2,62	CH		100	7/23/2018 - Sonoma Raceway Cup	7/23/2018 - Sonoma Raceway Cup	19	0	0	1	0	0	0	0	12,812	0	6	8	7	-1	7	17	19	0	0	0	0	0	1	0	0	0	0	Rookie	0	False	False	
Marcel Fritsch	18791	Newman-Simracing	2501	3,5	AT	Bronze	0,3852	4/2/2018 - Circuit Zolder Grand Prix	7/16/2018 - Donington Park Racing Circuit Grand Prix	8	8,8	0	10	9	90	0	0	663,982	0	37	158	157	-1	15	6	5	0	0	1	7	8	8	3	0	0	0	Class A	1	False	False	
Kai Hitschler	38506	Newman-Simracing	1387	3,32	DE		100	6/18/2018 - Okayama International Circuit Short	7/16/2018 - Donington Park Racing Circuit Grand Prix	12	12,5	0	2	2	100	0	0	108,58	0	19	28	27	-1	13	15	12	0	0	0	0	2	2	0	0	0	0	Class B	0	False	False	
Dennis Wehdeking	17850	-	2253	2,85	DE		100	6/18/2018 - Okayama International Circuit Short	7/16/2018 - Donington Park Racing Circuit Grand Prix	14	8,3	0	4	3	75	0	0	218,965	0	20	60	60	0	15	4	5	0	0	1	2	3	4	0	0	0	0	Class A	0	False	False	
Jürgen Gutjahr	38751	-	1085	3,05	DE		100	7/2/2018 - Nürburgring Nordschleife Industriefahrten	7/16/2018 - Donington Park Racing Circuit Grand Prix	17	17	0	2	1	50	0	0	139,58	0	16	16	13	-3	6	18	17	0	0	0	0	0	2	0	0	0	0	Class B	0	False	False	
Karsten Heß	38274	-	1763	4,51	DE	Bronze	100	6/18/2018 - Okayama International Circuit Short	7/16/2018 - Donington Park Racing Circuit Grand Prix	20	13,6	0	5	5	100	0	0	392,807	0	20	62	62	0	12	13	9	0	0	0	1	4	5	0	0	0	0	Class A	1	False	False	
Oliver Schenk	38507	-	921	2,99	CH		100	6/18/2018 - Okayama International Circuit Short	7/9/2018 - Mid-Ohio Sports Car Course Full Course	16	19	0	3	3	100	0	0	161,786	0	36	20	18	-2	6	19	16	0	0	0	0	0	2	0	0	0	0	Class D	0	False	False	
Kevin Kolsche	32143	L79 CTC - Past Faster	2314	4,17	DE	Bronze	0,7533	9/25/2017 - Silverstone Circuit National	7/9/2018 - Mid-Ohio Sports Car Course Full Course	18	15,9	0	13	10	77	0	0	800,611	0	98	116	115	-1	8	7	5	0	0	1	2	4	11	0	0	0	0	Class A	1	False	False	
Dimitri Neufeld	38505	-	1792	3,62	DE		100	6/18/2018 - Okayama International Circuit Short	7/2/2018 - Nürburgring Nordschleife Industriefahrten	17	9	0	2	1	50	0	0	135,6	0	12	25	25	0	12	12	9	0	0	0	1	1	2	0	0	0	0	Class B	0	False	False	
Max Markin	34923	Maunz-Racing	3156	4,99		Silber	0,8833	9/25/2017 - Silverstone Circuit National	7/2/2018 - Nürburgring Nordschleife Industriefahrten	23	11,2	2	16	12	75	0	0	730,964	38,605	99	187	184	-4	11	1	3	0	2	3	7	8	11	0	0	0	0	Class A	3	False	False	
Björn Serlitzky	38272	-	1137	2,86	DE		100	6/18/2018 - Okayama International Circuit Short	6/25/2018 - Canadian Tire Motorsports Park	16	16	0	2	2	100	0	0	115,612	0	10	20	19	-1	9	20	16	0	0	0	0	0	2	0	1	0	0	Class D	0	False	False	
Jens Paul4	38509	-	1089	3,52	DE		100	6/18/2018 - Okayama International Circuit Short	6/18/2018 - Okayama International Circuit Short	24	0	0	1	0	0	0	0	23,012	0	4	1	1	0	1	25	24	0	0	0	0	0	0	0	0	0	0	Class D	0	False	False	
Kai J. Bartmann	38508	Newman-Simracing	745	2,26	DE		100	6/18/2018 - Okayama International Circuit Short	6/18/2018 - Okayama International Circuit Short	25	25	0	1	0	0	0	0	27,196	0	15	2	1	-1	1	22	25	0	0	0	0	0	0	0	0	0	0	Class B	0	False	False	
Marcel Worzischek	38273	-	1547	4,99	DE		100	6/18/2018 - Okayama International Circuit Short	6/18/2018 - Okayama International Circuit Short	28	0	0	1	0	0	0	0	4,184	0	12	0	0	0	0	21	28	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Michael Engel	35937	ART Austria Racing Team	4396	3,33	AT	Silber	0,881	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	6/4/2018 - Brands Hatch Circuit Grand Prix	3	8,7	1	15	14	93	0	0	826,025	76,765	80	277	270	-7	18	1	1	1	6	9	11	12	12	2	0	0	0	Class A	3	False	False	
Hannes Smolka	27962	SpeedworldAcademy	2043	4,75			100	5/7/2018 - Circuit de Spa-Francorchamps Classic Pits	6/4/2018 - Brands Hatch Circuit Grand Prix	8	11	0	5	4	80	0	0	221,902	0	43	61	61	0	12	8	4	0	0	1	2	3	4	0	0	0	0	Class A	0	False	False	
Juergen Weber	32149	-	1840	2,44			100	5/14/2018 - Donington Park Racing Circuit National	5/14/2018 - Donington Park Racing Circuit National	20	20	0	1	1	100	0	0	59,831	0	10	9	6	-3	6	27	20	0	0	0	0	0	1	0	0	0	0	Class A	0	False	False	
Fabian Klöckner	34591	Maunz-Racing	4210	3,56	DE	Bronze	100	9/25/2017 - Silverstone Circuit National	4/9/2018 - Circuit of the Americas Grand Prix	12	15	0	5	5	100	0	0	294,151	0	50	61	56	-5	11	7	9	0	0	0	1	4	4	0	0	0	0	Class A	1	False	False	
Christian Meese	34592	GermanSimRacing.de	2201	3,6	DE	Bronze	100	9/25/2017 - Silverstone Circuit National	4/2/2018 - Circuit Zolder Grand Prix	20	10,6	0	9	5	56	0	0	350,949	0	47	85	84	-1	9	4	5	0	0	1	3	4	6	1	0	0	0	Class A	1	False	False	
Kai Uwe Gerlach	35934	GermanSimRacing.de	2452	4,04	DE	Bronze	0,4286	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	3/19/2018 - Lime Rock Park Full Course	9	11,3	0	8	7	88	0	0	451,498	0	30	105	104	-1	13	5	7	0	0	0	5	6	6	1	0	0	0	Class B	1	False	False	
Daniel Behrensen	20303	-	4008	3,72	DE	Bronze	100	10/9/2017 - Road Atlanta Full Course	3/19/2018 - Lime Rock Park Full Course	16	7	0	5	5	100	0	0	285,965	12,264	39	98	97	-1	19	2	2	0	1	3	4	4	5	0	0	0	0	Class A	1	False	False	
Bernd Halbeisen2	37207	-	1747	2,57	AT		100	3/19/2018 - Lime Rock Park Full Course	3/19/2018 - Lime Rock Park Full Course	19	19	0	1	1	100	0	0	61,55	0	5	7	7	0	7	17	19	0	0	0	0	0	1	0	0	0	0	Class A	0	False	False	
Charly Fruehwirth	37205	Lost Boys Linz	1740	4,88	AT		100	3/19/2018 - Lime Rock Park Full Course	3/19/2018 - Lime Rock Park Full Course	22	22	0	1	1	100	0	0	61,55	0	6	4	4	0	4	28	22	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Jan Hoffmann	25100	-	1565	2,31	DE		100	3/19/2018 - Lime Rock Park Full Course	3/19/2018 - Lime Rock Park Full Course	23	23	0	1	1	100	0	0	61,55	0	9	2	2	0	2	36	23	0	0	0	0	0	0	0	0	0	0	Class B	0	False	False	
Manuel Monteiro	36176	-	1294	2,32	DE		100	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	3/19/2018 - Lime Rock Park Full Course	26	26	0	2	2	100	0	0	122,097	0	12	0	0	0	0	37	26	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Roman Graf	37297	-	1601	3,32	CH		100	3/19/2018 - Lime Rock Park Full Course	3/19/2018 - Lime Rock Park Full Course	34	34	0	1	1	100	0	0	59,088	0	5	0	-1	-1	-1	24	34	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Alexander Lange	37039	-	1327	3,5	DE		100	3/5/2018 - Phillip Island Circuit	3/5/2018 - Phillip Island Circuit	21	0	0	1	0	0	0	0	13,335	0	4	5	5	0	5	22	21	0	0	0	0	0	0	0	0	0	0	Class C	0	False	False	
Karsten Brodowy	24364	-	1939	4,28	DE	Bronze	0,9048	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	2/26/2018 - Circuit Gilles Villeneuve	13	16,1	0	7	7	100	0	0	393,988	0	35	70	66	-4	9	11	10	0	0	0	1	4	6	0	0	0	0	Class A	1	False	False	
Martin Hoehn	36179	-	1487	2,43	DE		100	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	2/26/2018 - Circuit Gilles Villeneuve	17	19	0	5	5	100	0	0	281,212	0	35	36	35	-1	7	17	16	0	0	0	0	0	4	0	0	0	0	Class C	0	False	False	
Stefan Fürtbauer	36440	-	327	0,81			100	1/22/2018 - Circuit Zolder Grand Prix	2/26/2018 - Circuit Gilles Villeneuve	22	24,6	0	5	3	60	0	0	214,817	0	48	15	4	-11	0	18	22	0	0	0	0	0	0	0	0	0	0	Class D	0	False	False	
Lars Hung	34034	Virtual Racing	2487	4,49	DE		100	2/19/2018 - Circuit of the Americas West	2/19/2018 - Circuit of the Americas West	11	11	0	1	1	100	0	0	54,392	0	3	15	15	0	15	12	11	0	0	0	0	1	1	0	0	0	0	Class A	0	False	False	
Marc Faetkenheuer	36761	Virtual Racing	2069	3,4	DE		100	2/19/2018 - Circuit of the Americas West	2/19/2018 - Circuit of the Americas West	20	20	0	1	1	100	0	0	54,392	0	16	9	6	-3	6	10	20	0	0	0	0	0	1	0	0	0	0	Class B	0	False	False	
Stefan Binninger	35936	Maunz-Racing	2915	4,72			100	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	2/12/2018 - Mazda Raceway Laguna Seca Full Course	8	10	0	2	2	100	0	0	113,437	0	17	31	31	0	15	10	8	0	0	0	1	2	2	0	0	0	0	Class A	0	False	False	
Iven Daemmrich	36683	-	1424	2,24	DE		100	2/12/2018 - Mazda Raceway Laguna Seca Full Course	2/12/2018 - Mazda Raceway Laguna Seca Full Course	12	12	0	1	1	100	0	0	50,428	0	4	14	14	0	14	19	12	0	0	0	0	1	1	0	0	0	0	Class A	0	False	False	
Axel Begemann	36437	-	2104	2,63	DE		100	1/22/2018 - Circuit Zolder Grand Prix	2/5/2018 - Circuit Park Zandvoort Grand Prix	7	10	0	2	2	100	0	0	116,326	0	14	31	31	0	15	13	7	0	0	0	1	2	2	0	0	0	0	Class B	0	False	False	
Arne Stops	34607	Maunz-Racing	3037	4,56	DE		100	9/25/2017 - Silverstone Circuit National	2/5/2018 - Circuit Park Zandvoort Grand Prix	26	8,8	0	6	4	67	0	0	224,558	0	14	71	68	-3	11	7	6	0	0	0	4	4	4	1	0	0	0	Class A	0	False	False	
Florian Bauernhofer	36540	-	1784	2,57	AT		100	1/29/2018 - Snetterton Circuit 200	1/29/2018 - Snetterton Circuit 200	6	6	0	1	1	100	0	0	57,942	0	14	21	20	-1	20	4	6	0	0	0	1	1	1	0	0	0	0	Class C	0	False	False	
Dieter Falkenstein	36355	-	924	4,85	DE		100	1/15/2018 - Virginia International Raceway Grand West	1/22/2018 - Circuit Zolder Grand Prix	19	19	0	2	2	100	0	0	113,641	0	1	12	12	0	6	22	19	0	0	0	0	0	2	1	0	0	0	Class B	0	False	False	
Patrick Preusse	27020	GermanSimRacing.de	5610	3,58	DE	Bronze	100	9/25/2017 - Silverstone Circuit National	1/15/2018 - Virginia International Raceway Grand West	7	8,4	2	7	6	86	1	0	379,294	141,621	26	158	155	-3	22	1	1	3	4	5	6	6	6	1	0	0	0	Class A	1	False	False	
Patrick Luzius	36354	-	1675	3,46	DE		100	1/15/2018 - Virginia International Raceway Grand West	1/15/2018 - Virginia International Raceway Grand West	12	12	0	1	1	100	0	0	57,501	0	5	15	14	-1	14	15	12	0	0	0	0	1	1	0	0	0	0	Class C	0	False	False	
Oliver Kemmesat	29237	GermanSimRacing.de	4431	4,08	DE	Bronze	100	9/25/2017 - Silverstone Circuit National	1/15/2018 - Virginia International Raceway Grand West	13	12,4	0	8	6	75	0	0	362,566	0	28	95	94	-1	11	7	8	0	0	0	4	6	6	0	0	0	0	Class A	1	False	False	
Christoph Mayer	36356	-	0	2,37			100	1/15/2018 - Virginia International Raceway Grand West	1/15/2018 - Virginia International Raceway Grand West	24	0	0	1	0	0	0	0	44,723	0	17	2	2	0	2	28	24	0	0	0	0	0	0	0	0	0	0	Rookie	0	False	False	
Christopher Dambietz	34922	GermanSimRacing.de	2083	3,28	DE		100	9/25/2017 - Silverstone Circuit National	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	6	6	0	3	3	100	0	0	173,377	0	29	59	59	0	19	5	5	0	0	1	3	3	3	0	1	1	0	Class B	0	False	False	
Marcus Sommer	36175	-	738	3,46			100	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	25	25	0	1	1	100	0	0	63,009	0	3	1	1	0	1	47	25	0	0	0	0	0	0	0	0	0	0	Class B	0	False	False	
Julian Oejen	29228	GermanSimRacing.de	3351	3,25	DE	Bronze	100	9/25/2017 - Silverstone Circuit National	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	26	16,7	0	7	5	71	0	0	335,249	0	51	64	59	-5	8	17	9	0	0	0	1	4	5	0	1	0	0	Class A	1	False	False	
Jenno Buelders	36178	-	2650	2,86	DE		100	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	26	26	0	1	1	100	0	0	63,009	0	12	0	0	0	0	15	26	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Alexander Lilla	35808	GermanSimRacing.de	2454	3,47	DE		100	12/4/2017 - Circuit Gilles Villeneuve	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	26	22	0	2	2	100	0	0	115,341	0	15	8	8	0	4	21	18	0	0	0	0	0	1	0	0	0	0	Class A	0	False	False	
Michael Kiessl	36181	-	1740	4,55	DE		100	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	26	26	0	1	0	0	0	0	35,005	0	8	0	0	0	0	20	26	0	0	0	0	0	0	0	0	0	0	Class B	0	False	False	
Andrea Kienbauer	36183	-	1343	3,17			100	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	40	0	0	1	0	0	0	0	7,001	0	10	0	-1	-1	-1	26	40	0	0	0	0	0	0	0	0	0	0	Class C	0	False	False	
R Kunack-Constabel	34601	GermanSimRacing.de	1495	2,12			100	9/25/2017 - Silverstone Circuit National	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	43	25,8	0	6	4	67	0	0	300,082	0	49	18	13	-5	2	14	14	0	0	0	0	1	1	0	0	0	0	Class A	0	False	False	
Niklas Behrens	25736	GermanSimRacing.de	5264	2,5	DE		100	12/4/2017 - Circuit Gilles Villeneuve	12/4/2017 - Circuit Gilles Villeneuve	8	8	0	1	1	100	0	0	52,332	0	4	19	18	-1	18	3	8	0	0	0	1	1	1	0	0	0	0	Class A	0	False	False	
Nicolas Galli	34593	GermanSimRacing.de	3166	2,45	CH		100	9/25/2017 - Silverstone Circuit National	12/4/2017 - Circuit Gilles Villeneuve	13	9	0	4	3	75	0	0	200,578	0	20	60	59	-1	14	8	6	0	0	0	2	3	4	0	0	0	0	Class A	0	False	False	
Frank von Borstel	31896	Sim Sport Garage 17	1815	3,42			100	9/25/2017 - Silverstone Circuit National	12/4/2017 - Circuit Gilles Villeneuve	16	17,2	0	5	5	100	0	0	273,876	0	35	43	41	-2	8	15	12	0	0	0	0	2	4	0	0	0	0	Class A	0	False	False	
Eckhart von Glan	16771	Blue Flag Racing	1340	2,35	DE		100	9/25/2017 - Silverstone Circuit National	12/4/2017 - Circuit Gilles Villeneuve	26	20	0	5	5	100	0	0	282,427	0	34	32	28	-4	5	16	15	0	0	0	0	1	3	0	0	0	0	Class A	0	False	False	
Thomas Jogwick	34967	-	701	3,17			100	12/4/2017 - Circuit Gilles Villeneuve	12/4/2017 - Circuit Gilles Villeneuve	26	26	0	1	1	100	0	0	43,61	0	0	0	0	0	0	24	26	0	0	0	0	0	0	0	0	0	0	Class B	0	False	False	
Moritz Metka	34602	-	1544	2,78	DE		100	9/25/2017 - Silverstone Circuit National	12/4/2017 - Circuit Gilles Villeneuve	28	19,2	0	4	4	100	0	0	230,585	0	27	31	28	-3	7	17	16	0	0	0	0	0	3	0	1	0	0	Class C	0	False	False	
Sebastian Wilms	21427	Sim Sport Garage 17	2057	4,25	DE		100	9/25/2017 - Silverstone Circuit National	11/6/2017 - Brands Hatch Circuit Grand Prix	12	17,5	0	4	4	100	0	0	221,164	0	32	32	32	0	8	20	12	0	0	0	0	1	3	0	0	0	0	Class A	0	False	False	
Patrick Christoph Moser	35146	SimRC.de	4354	3	AT		100	10/9/2017 - Road Atlanta Full Course	10/23/2017 - Phillip Island Circuit	6	6,5	0	2	2	100	0	0	119,462	0	12	39	39	0	19	8	6	0	0	0	2	2	2	0	0	0	0	Class A	0	False	False	
Sascha Raabe	2974	-	1910	4,68			100	10/9/2017 - Road Atlanta Full Course	10/9/2017 - Road Atlanta Full Course	23	23	0	1	1	100	0	0	57,232	0	6	3	2	-1	2	16	23	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Erik Leukel	29432	BerlinSimSport	2271	4,89	DE		100	9/25/2017 - Silverstone Circuit National	10/9/2017 - Road Atlanta Full Course	26	0	0	2	0	0	0	0	15,828	0	8	0	-1	-1	0	7	26	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Mike Bucher	34594	GermanSimRacing.de	1149	2,49			100	9/25/2017 - Silverstone Circuit National	9/25/2017 - Silverstone Circuit National	11	11	0	1	1	100	0	0	58,036	0	2	15	15	0	15	27	11	0	0	0	0	1	1	0	1	0	0	Class A	0	False	False	
Stefan Held	34925	-	907	2,14	DE		100	9/25/2017 - Silverstone Circuit National	9/25/2017 - Silverstone Circuit National	19	19	0	1	1	100	0	0	58,036	0	3	6	6	0	6	30	19	0	0	0	0	0	1	0	0	0	0	Class B	0	False	False	
Olaf Ballerstedt	25554	Sim Sport Garage 17	2044	2,22	DE		100	9/25/2017 - Silverstone Circuit National	9/25/2017 - Silverstone Circuit National	31	31	0	1	1	100	0	0	55,398	0	16	1	-6	-7	-6	17	31	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
