Name	Drvid	Team	IRating	SR	Flag	DriverRank	FairnessRating	ErstesRennen	LetztesRennen	LetztePlatzierung	DurchschnittPlatzierung	Poles	Rennen	Finish	Quote	Titel	HeisseEisenTitel	Distanz	FuehrungsKm	Incidents	RawPunkte	Punkte	Strafpunkte	PunkteProRennen	BestQuali	BestErgebnis	Siege	Podium	Top5	Top10	Top15	Top20	CleanestDriver	HardCharger	SchnellsteRunde	SeasonPosition	License	RankValue	IsCurrentChamp	IsCurrentHeChamp	
Daniel Daum	36182	Speedworld Academy	3826	2,71	AT	Gold	1,6145	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	6/22/2020 - Spa GP Pits	11	7,6	4	28	23	82	1	0	2042,146	309,915	152	469	442	-27	15	1	1	5	8	12	21	22	23	2	0	1	0	Class C	5	False	False	
Lars Falke	53348	-	2181	2,56			100	6/22/2020 - Spa GP Pits	6/22/2020 - Spa GP Pits	24	0	0	1	0	0	0	0	77,011	0	6	2	2	0	2	17	24	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Daniel Gestl	45961	-	1309	3,59	AT		0,5273	9/23/2019 - Brands Hatch Indy	6/22/2020 - Spa GP Pits	26	20,2	0	28	22	79	0	0	1721,209	0	129	134	131	-3	4	17	12	0	0	0	0	2	11	4	2	0	0	Class C	0	False	False	
Marcel Fassbender	43082	SimRC.de	5999	2,38	DE	Gold	1,6508	10/28/2019 - Phoenix 2008 Road	6/15/2020 - Summit Point	6	5,8	0	23	21	91	0	0	1661,118	45,319	220	460	440	-20	19	3	1	1	7	11	18	21	21	0	3	4	0	Class A	5	False	False	
Hannes Hofbauer	50370	-	2024	3,63			100	5/4/2020 - Brands Hatch Grand Prix	6/1/2020 - Circuit Gilles Villeneuve	24	14	0	4	1	25	0	0	64,459	0	33	20	14	-6	3	8	14	0	0	0	0	1	1	0	0	0	0	Class D	0	False	False	
Lukas G. Gotsch	48563	-	3458	3,46	AT		100	3/16/2020 - Okayama Full	5/18/2020 - Belle Isle	3	5,5	0	6	4	67	0	0	311,9	0	32	84	78	-6	13	5	3	0	1	2	4	4	4	1	0	1	0	Class A	0	False	False	
Markus Ratzesberger	50797	-	1185	3,63	AT		100	5/11/2020 - Zandvoort Grand Prix	5/18/2020 - Belle Isle	20	19,5	0	2	2	100	0	0	160,423	0	3	12	12	0	6	20	19	0	0	0	0	0	2	0	0	0	0	Class C	0	False	False	
Thorsten Klinger	39044	Vicit eMotorsport Team	2286	3,77	DE	Silber	0,4627	7/30/2018 - Circuit of the Americas West	5/11/2020 - Zandvoort Grand Prix	21	11,2	0	52	50	96	0	0	4176,572	13,03	182	624	613	-11	11	2	2	0	2	8	26	42	44	14	2	0	0	Class A	3	False	False	
Joel Stampfli	32427	Damaged Beyond Recognition	1685	2,35	CH	Gold	0,6595	9/25/2017 - Silverstone Circuit National	5/4/2020 - Brands Hatch Grand Prix	15	12,5	1	45	37	82	0	0	3288,297	19,878	321	500	497	-3	11	1	1	2	3	5	19	28	37	4	6	0	0	Class B	5	False	False	
Stefan Rudhof	49102	-	1048	3,3			100	4/6/2020 - Charlotte Roval	5/4/2020 - Brands Hatch Grand Prix	24	25	0	3	2	67	0	0	172,074	0	12	4	4	0	1	19	24	0	0	0	0	0	0	0	0	0	0	Class B	0	False	False	
Thomas Kick2	30482	-	1973	2,5	DE		100	1/21/2019 - Tsukuba 2000 Full	5/4/2020 - Brands Hatch Grand Prix	26	10,5	0	9	4	44	0	0	435,265	0	48	63	58	-5	6	7	6	0	0	0	2	4	4	0	0	0	0	Class C	0	False	False	
Nico Schuk	46862	-	2820	3,34	DE		100	11/18/2019 - Summit Point	5/4/2020 - Brands Hatch Grand Prix	27	20	0	4	3	75	0	0	200,957	0	22	28	22	-6	5	8	8	0	0	0	1	2	2	0	0	0	0	Class B	0	False	False	
